Vehicle ID,Vehicle Number,Driver ID,Driver Name,Driver Contact,Driver Email,Speed Min (km/h),Speed Max (km/h),Location,Time,Trip Start Time,Trip End Time,Trip Distance (km),Trip Duration (min),No. of Trips Covered by Vehicle,Overspeed Alert,Harsh Braking Alert,GPS Disconnect Alert,Ignition On/Off Alert,Night Driving Alert
VH005,MH14JK7890,DRV005,Neha Deshmukh,9876543214,neha.deshmukh@example.com,9,110,"Lonavala, Maharashtra",2026-08-04 06:15:00,2026-08-04 06:15:00,2026-08-04 07:08:00,29.67,53,12,Yes,No,No,Off,No
VH006,MH47LM2345,DRV006,Kunal More,9876543215,kunal.more@example.com,20,93,"Lonavala, Maharashtra",2026-08-04 08:15:00,2026-08-04 08:15:00,2026-08-04 09:07:00,123.31,52,12,Yes,Yes,No,On,No
VH007,MH01NP6789,DRV007,Priya Nair,9876543216,priya.nair@example.com,19,96,"Thane, Maharashtra",2026-08-04 10:15:00,2026-08-04 10:15:00,2026-08-04 10:40:00,74.94,25,12,Yes,No,No,On,No
VH008,MH05QR0123,DRV008,Vikram Singh,9876543217,vikram.singh@example.com,2,65,"Pune, Maharashtra",2026-08-04 12:15:00,2026-08-04 12:15:00,2026-08-04 15:05:00,108.27,170,12,No,No,No,On,No
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,5,88,"Kharghar, Maharashtra",2026-08-05 06:15:00,2026-08-05 06:15:00,2026-08-05 09:00:00,80.29,165,13,Yes,No,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,21,102,"Thane, Maharashtra",2026-08-05 08:15:00,2026-08-05 08:15:00,2026-08-05 10:22:00,68.02,127,13,Yes,Yes,No,On,No
VH003,MH12EF9012,DRV003,Sneha Joshi,9876543212,sneha.joshi@example.com,7,55,"Navi Mumbai, Maharashtra",2026-08-05 10:15:00,2026-08-05 10:15:00,2026-08-05 13:10:00,17.73,175,13,No,No,No,On,No
VH004,MH43GH3456,DRV004,Aditya Kulkarni,9876543213,aditya.kulkarni@example.com,7,90,"Pune, Maharashtra",2026-08-05 12:15:00,2026-08-05 12:15:00,2026-08-05 14:51:00,99.65,156,13,Yes,Yes,No,On,No
VH005,MH14JK7890,DRV005,Neha Deshmukh,9876543214,neha.deshmukh@example.com,6,67,"Navi Mumbai, Maharashtra",2026-08-06 06:15:00,2026-08-06 06:15:00,2026-08-06 08:24:00,21.28,129,12,No,No,No,On,No
VH006,MH47LM2345,DRV006,Kunal More,9876543215,kunal.more@example.com,12,98,"Pune, Maharashtra",2026-08-06 08:15:00,2026-08-06 08:15:00,2026-08-06 08:55:00,117.68,40,12,Yes,Yes,No,On,No
VH007,MH01NP6789,DRV007,Priya Nair,9876543216,priya.nair@example.com,2,111,"Navi Mumbai, Maharashtra",2026-08-06 10:15:00,2026-08-06 10:15:00,2026-08-06 11:43:00,118.7,88,12,No,Yes,No,On,Yes
VH008,MH05QR0123,DRV008,Vikram Singh,9876543217,vikram.singh@example.com,5,107,"Kharghar, Maharashtra",2026-08-06 12:15:00,2026-08-06 12:15:00,2026-08-06 13:40:00,74.53,85,12,Yes,No,Yes,On,No
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,9,109,"Thane, Maharashtra",2026-08-07 06:15:00,2026-08-07 06:15:00,2026-08-07 08:36:00,103.43,141,13,No,No,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,18,124,"Panvel, Maharashtra",2026-08-07 08:15:00,2026-08-07 08:15:00,2026-08-07 08:54:00,16.35,39,13,Yes,Yes,No,On,No
VH003,MH12EF9012,DRV003,Sneha Joshi,9876543212,sneha.joshi@example.com,2,78,"Kalyan, Maharashtra",2026-08-07 10:15:00,2026-08-07 10:15:00,2026-08-07 12:50:00,17.39,155,13,No,Yes,No,On,No
VH004,MH43GH3456,DRV004,Aditya Kulkarni,9876543213,aditya.kulkarni@example.com,18,60,"Thane, Maharashtra",2026-08-07 12:15:00,2026-08-07 12:15:00,2026-08-07 13:43:00,92.86,88,13,No,No,No,On,No
VH005,MH14JK7890,DRV005,Neha Deshmukh,9876543214,neha.deshmukh@example.com,7,88,"Pune, Maharashtra",2026-08-08 06:15:00,2026-08-08 06:15:00,2026-08-08 08:00:00,62.22,105,12,No,No,No,On,Yes
VH006,MH47LM2345,DRV006,Kunal More,9876543215,kunal.more@example.com,3,64,"Thane, Maharashtra",2026-08-08 08:15:00,2026-08-08 08:15:00,2026-08-08 11:04:00,81.66,169,12,No,No,No,On,Yes
VH007,MH01NP6789,DRV007,Priya Nair,9876543216,priya.nair@example.com,9,75,"Lonavala, Maharashtra",2026-08-08 10:15:00,2026-08-08 10:15:00,2026-08-08 12:14:00,68.03,119,12,No,No,No,Off,No
VH008,MH05QR0123,DRV008,Vikram Singh,9876543217,vikram.singh@example.com,21,125,"Lonavala, Maharashtra",2026-08-08 12:15:00,2026-08-08 12:15:00,2026-08-08 12:42:00,49.01,27,12,No,No,No,On,Yes
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,8,91,"Panvel, Maharashtra",2026-08-09 06:15:00,2026-08-09 06:15:00,2026-08-09 07:19:00,90.86,64,13,No,Yes,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,20,109,"Pune, Maharashtra",2026-08-09 08:15:00,2026-08-09 08:15:00,2026-08-09 09:03:00,121.62,48,13,Yes,No,No,Off,No
VH003,MH12EF9012,DRV003,Sneha Joshi,9876543212,sneha.joshi@example.com,22,109,"Belapur, Maharashtra",2026-08-09 10:15:00,2026-08-09 10:15:00,2026-08-09 13:01:00,84.84,166,13,Yes,No,No,On,Yes
VH004,MH43GH3456,DRV004,Aditya Kulkarni,9876543213,aditya.kulkarni@example.com,17,73,"Panvel, Maharashtra",2026-08-09 12:15:00,2026-08-09 12:15:00,2026-08-09 15:09:00,66.88,174,13,No,Yes,No,Off,No
VH005,MH14JK7890,DRV005,Neha Deshmukh,9876543214,neha.deshmukh@example.com,6,86,"Thane, Maharashtra",2026-08-10 06:15:00,2026-08-10 06:15:00,2026-08-10 08:11:00,99.37,116,12,Yes,No,No,Off,No
VH006,MH47LM2345,DRV006,Kunal More,9876543215,kunal.more@example.com,25,77,"Thane, Maharashtra",2026-08-10 08:15:00,2026-08-10 08:15:00,2026-08-10 09:21:00,128.75,66,12,No,Yes,No,On,No
VH007,MH01NP6789,DRV007,Priya Nair,9876543216,priya.nair@example.com,5,68,"Belapur, Maharashtra",2026-08-10 10:15:00,2026-08-10 10:15:00,2026-08-10 11:48:00,60.41,93,12,No,Yes,No,On,No
VH008,MH05QR0123,DRV008,Vikram Singh,9876543217,vikram.singh@example.com,25,84,"Belapur, Maharashtra",2026-08-10 12:15:00,2026-08-10 12:15:00,2026-08-10 13:58:00,38.54,103,12,No,No,No,On,No
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,12,123,"Panvel, Maharashtra",2026-08-11 06:15:00,2026-08-11 06:15:00,2026-08-11 08:50:00,53.37,155,13,Yes,No,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,19,110,"Thane, Maharashtra",2026-08-11 08:15:00,2026-08-11 08:15:00,2026-08-11 09:07:00,55.36,52,13,No,No,No,On,No
VH003,MH12EF9012,DRV003,Sneha Joshi,9876543212,sneha.joshi@example.com,1,110,"Belapur, Maharashtra",2026-08-11 10:15:00,2026-08-11 10:15:00,2026-08-11 11:45:00,8.23,90,13,No,No,No,On,No
VH004,MH43GH3456,DRV004,Aditya Kulkarni,9876543213,aditya.kulkarni@example.com,2,97,"Belapur, Maharashtra",2026-08-11 12:15:00,2026-08-11 12:15:00,2026-08-11 14:30:00,93.37,135,13,No,Yes,No,On,No
VH005,MH14JK7890,DRV005,Neha Deshmukh,9876543214,neha.deshmukh@example.com,22,92,"Kalyan, Maharashtra",2026-08-12 06:15:00,2026-08-12 06:15:00,2026-08-12 08:23:00,83.95,128,12,Yes,No,No,On,No
VH006,MH47LM2345,DRV006,Kunal More,9876543215,kunal.more@example.com,12,125,"Pune, Maharashtra",2026-08-12 08:15:00,2026-08-12 08:15:00,2026-08-12 09:57:00,122.22,102,12,Yes,Yes,No,On,No
VH007,MH01NP6789,DRV007,Priya Nair,9876543216,priya.nair@example.com,21,82,"Kalyan, Maharashtra",2026-08-12 10:15:00,2026-08-12 10:15:00,2026-08-12 12:33:00,78.03,138,12,No,No,No,On,No
VH008,MH05QR0123,DRV008,Vikram Singh,9876543217,vikram.singh@example.com,2,85,"Navi Mumbai, Maharashtra",2026-08-12 12:15:00,2026-08-12 12:15:00,2026-08-12 14:05:00,100.17,110,12,Yes,Yes,Yes,On,No
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,13,79,"Navi Mumbai, Maharashtra",2026-08-13 06:15:00,2026-08-13 06:15:00,2026-08-13 08:36:00,106.41,141,13,No,No,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,7,77,"Navi Mumbai, Maharashtra",2026-08-13 08:15:00,2026-08-13 08:15:00,2026-08-13 10:28:00,118.16,133,13,No,No,No,On,No
VH003,MH12EF9012,DRV003,Sneha Joshi,9876543212,sneha.joshi@example.com,4,114,"Lonavala, Maharashtra",2026-08-13 10:15:00,2026-08-13 10:15:00,2026-08-13 12:36:00,99.46,141,13,No,No,No,On,No
VH004,MH43GH3456,DRV004,Aditya Kulkarni,9876543213,aditya.kulkarni@example.com,17,112,"Lonavala, Maharashtra",2026-08-13 12:15:00,2026-08-13 12:15:00,2026-08-13 14:29:00,130.92,134,13,No,No,No,On,No
VH005,MH14JK7890,DRV005,Neha Deshmukh,9876543214,neha.deshmukh@example.com,20,85,"Vashi, Maharashtra",2026-08-14 06:15:00,2026-08-14 06:15:00,2026-08-14 08:44:00,45.62,149,12,Yes,No,No,On,No
VH006,MH47LM2345,DRV006,Kunal More,9876543215,kunal.more@example.com,7,104,"Thane, Maharashtra",2026-08-14 08:15:00,2026-08-14 08:15:00,2026-08-14 09:18:00,103.07,63,12,No,Yes,No,On,No
VH007,MH01NP6789,DRV007,Priya Nair,9876543216,priya.nair@example.com,12,57,"Mumbai, Maharashtra",2026-08-14 10:15:00,2026-08-14 10:15:00,2026-08-14 12:27:00,125.37,132,12,No,No,No,On,No
VH008,MH05QR0123,DRV008,Vikram Singh,9876543217,vikram.singh@example.com,17,124,"Mumbai, Maharashtra",2026-08-14 12:15:00,2026-08-14 12:15:00,2026-08-14 14:27:00,117.58,132,12,No,No,No,On,No
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,14,71,"Navi Mumbai, Maharashtra",2026-08-15 06:15:00,2026-08-15 06:15:00,2026-08-15 07:22:00,142.36,67,13,No,No,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,4,114,"Kharghar, Maharashtra",2026-08-15 08:15:00,2026-08-15 08:15:00,2026-08-15 10:29:00,32.9,134,13,Yes,No,No,On,No
VH003,MH12EF9012,DRV003,Sneha Joshi,9876543212,sneha.joshi@example.com,8,65,"Navi Mumbai, Maharashtra",2026-08-15 10:15:00,2026-08-15 10:15:00,2026-08-15 12:27:00,72.43,132,13,No,No,Yes,Off,No
VH004,MH43GH3456,DRV004,Aditya Kulkarni,9876543213,aditya.kulkarni@example.com,24,58,"Navi Mumbai, Maharashtra",2026-08-15 12:15:00,2026-08-15 12:15:00,2026-08-15 12:50:00,138.1,35,13,No,Yes,Yes,On,No
VH005,MH14JK7890,DRV005,Neha Deshmukh,9876543214,neha.deshmukh@example.com,6,114,"Vashi, Maharashtra",2026-08-16 06:15:00,2026-08-16 06:15:00,2026-08-16 09:04:00,103.83,169,12,No,Yes,No,On,Yes
VH006,MH47LM2345,DRV006,Kunal More,9876543215,kunal.more@example.com,3,58,"Thane, Maharashtra",2026-08-16 08:15:00,2026-08-16 08:15:00,2026-08-16 09:59:00,135.26,104,12,No,No,No,On,No
VH007,MH01NP6789,DRV007,Priya Nair,9876543216,priya.nair@example.com,18,86,"Panvel, Maharashtra",2026-08-16 10:15:00,2026-08-16 10:15:00,2026-08-16 10:59:00,21.96,44,12,No,No,No,On,No
VH008,MH05QR0123,DRV008,Vikram Singh,9876543217,vikram.singh@example.com,17,109,"Mumbai, Maharashtra",2026-08-16 12:15:00,2026-08-16 12:15:00,2026-08-16 14:08:00,98.63,113,12,Yes,No,Yes,On,No
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,20,113,"Lonavala, Maharashtra",2026-08-17 06:15:00,2026-08-17 06:15:00,2026-08-17 08:12:00,104.9,117,13,Yes,No,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,14,110,"Pune, Maharashtra",2026-08-17 08:15:00,2026-08-17 08:15:00,2026-08-17 10:43:00,121.13,148,13,Yes,No,No,Off,No
VH003,MH12EF9012,DRV003,Sneha Joshi,9876543212,sneha.joshi@example.com,24,114,"Belapur, Maharashtra",2026-08-17 10:15:00,2026-08-17 10:15:00,2026-08-17 11:42:00,86.07,87,13,No,No,No,On,No
VH004,MH43GH3456,DRV004,Aditya Kulkarni,9876543213,aditya.kulkarni@example.com,10,90,"Mumbai, Maharashtra",2026-08-17 12:15:00,2026-08-17 12:15:00,2026-08-17 13:46:00,128.6,91,13,No,Yes,Yes,Off,Yes
VH005,MH14JK7890,DRV005,Neha Deshmukh,9876543214,neha.deshmukh@example.com,17,85,"Thane, Maharashtra",2026-08-18 06:15:00,2026-08-18 06:15:00,2026-08-18 08:45:00,102.61,150,12,Yes,No,No,On,No
VH006,MH47LM2345,DRV006,Kunal More,9876543215,kunal.more@example.com,21,102,"Kharghar, Maharashtra",2026-08-18 08:15:00,2026-08-18 08:15:00,2026-08-18 09:58:00,72.84,103,12,Yes,No,No,On,No
VH007,MH01NP6789,DRV007,Priya Nair,9876543216,priya.nair@example.com,8,84,"Thane, Maharashtra",2026-08-18 10:15:00,2026-08-18 10:15:00,2026-08-18 11:58:00,24.53,103,12,Yes,Yes,No,On,No
VH008,MH05QR0123,DRV008,Vikram Singh,9876543217,vikram.singh@example.com,8,122,"Lonavala, Maharashtra",2026-08-18 12:15:00,2026-08-18 12:15:00,2026-08-18 14:43:00,89.76,148,12,No,No,No,On,No
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,8,60,"Pune, Maharashtra",2026-08-19 06:15:00,2026-08-19 06:15:00,2026-08-19 07:12:00,141.48,57,13,No,No,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,0,91,"Navi Mumbai, Maharashtra",2026-08-19 08:15:00,2026-08-19 08:15:00,2026-08-19 09:06:00,72.31,51,13,Yes,Yes,Yes,Off,No
VH003,MH12EF9012,DRV003,Sneha Joshi,9876543212,sneha.joshi@example.com,15,64,"Navi Mumbai, Maharashtra",2026-08-19 10:15:00,2026-08-19 10:15:00,2026-08-19 12:22:00,87.05,127,13,No,No,No,On,No
VH004,MH43GH3456,DRV004,Aditya Kulkarni,9876543213,aditya.kulkarni@example.com,3,108,"Kalyan, Maharashtra",2026-08-19 12:15:00,2026-08-19 12:15:00,2026-08-19 13:43:00,91.07,88,13,No,Yes,No,On,No
VH005,MH14JK7890,DRV005,Neha Deshmukh,9876543214,neha.deshmukh@example.com,9,62,"Navi Mumbai, Maharashtra",2026-08-20 06:15:00,2026-08-20 06:15:00,2026-08-20 08:29:00,91.52,134,12,No,No,No,On,No
VH006,MH47LM2345,DRV006,Kunal More,9876543215,kunal.more@example.com,7,77,"Panvel, Maharashtra",2026-08-20 08:15:00,2026-08-20 08:15:00,2026-08-20 09:20:00,83.62,65,12,No,Yes,No,On,No
VH007,MH01NP6789,DRV007,Priya Nair,9876543216,priya.nair@example.com,9,91,"Thane, Maharashtra",2026-08-20 10:15:00,2026-08-20 10:15:00,2026-08-20 11:39:00,104.31,84,12,Yes,No,No,On,No
VH008,MH05QR0123,DRV008,Vikram Singh,9876543217,vikram.singh@example.com,3,124,"Kalyan, Maharashtra",2026-08-20 12:15:00,2026-08-20 12:15:00,2026-08-20 14:28:00,38.8,133,12,Yes,Yes,No,On,No
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,9,111,"Navi Mumbai, Maharashtra",2026-08-21 06:15:00,2026-08-21 06:15:00,2026-08-21 09:05:00,25.04,170,13,No,No,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,1,110,"Kalyan, Maharashtra",2026-08-21 08:15:00,2026-08-21 08:15:00,2026-08-21 11:13:00,108.63,178,13,Yes,Yes,No,On,No
VH003,MH12EF9012,DRV003,Sneha Joshi,9876543212,sneha.joshi@example.com,24,89,"Kalyan, Maharashtra",2026-08-21 10:15:00,2026-08-21 10:15:00,2026-08-21 10:45:00,86.95,30,13,No,Yes,No,On,No
VH004,MH43GH3456,DRV004,Aditya Kulkarni,9876543213,aditya.kulkarni@example.com,20,117,"Mumbai, Maharashtra",2026-08-21 12:15:00,2026-08-21 12:15:00,2026-08-21 14:31:00,140.76,136,13,Yes,No,No,On,No
VH005,MH14JK7890,DRV005,Neha Deshmukh,9876543214,neha.deshmukh@example.com,9,106,"Mumbai, Maharashtra",2026-08-22 06:15:00,2026-08-22 06:15:00,2026-08-22 08:46:00,119.46,151,12,Yes,No,No,On,No
VH006,MH47LM2345,DRV006,Kunal More,9876543215,kunal.more@example.com,0,124,"Panvel, Maharashtra",2026-08-22 08:15:00,2026-08-22 08:15:00,2026-08-22 10:51:00,71.29,156,12,Yes,No,No,On,No
VH007,MH01NP6789,DRV007,Priya Nair,9876543216,priya.nair@example.com,8,125,"Thane, Maharashtra",2026-08-22 10:15:00,2026-08-22 10:15:00,2026-08-22 11:32:00,25.95,77,12,Yes,No,No,On,No
VH008,MH05QR0123,DRV008,Vikram Singh,9876543217,vikram.singh@example.com,9,125,"Vashi, Maharashtra",2026-08-22 12:15:00,2026-08-22 12:15:00,2026-08-22 13:20:00,9.87,65,12,Yes,Yes,No,On,No
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,22,92,"Mumbai, Maharashtra",2026-08-23 06:15:00,2026-08-23 06:15:00,2026-08-23 08:47:00,77.72,152,13,Yes,No,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,19,120,"Lonavala, Maharashtra",2026-08-23 08:15:00,2026-08-23 08:15:00,2026-08-23 09:28:00,110.24,73,13,Yes,Yes,No,On,No
VH003,MH12EF9012,DRV003,Sneha Joshi,9876543212,sneha.joshi@example.com,0,91,"Pune, Maharashtra",2026-08-23 10:15:00,2026-08-23 10:15:00,2026-08-23 11:48:00,107.47,93,13,No,No,No,On,No
VH004,MH43GH3456,DRV004,Aditya Kulkarni,9876543213,aditya.kulkarni@example.com,10,125,"Mumbai, Maharashtra",2026-08-23 12:15:00,2026-08-23 12:15:00,2026-08-23 14:08:00,112.51,113,13,Yes,No,No,Off,No
VH005,MH14JK7890,DRV005,Neha Deshmukh,9876543214,neha.deshmukh@example.com,24,107,"Vashi, Maharashtra",2026-08-24 06:15:00,2026-08-24 06:15:00,2026-08-24 07:39:00,13.98,84,12,No,No,No,On,No
VH006,MH47LM2345,DRV006,Kunal More,9876543215,kunal.more@example.com,1,71,"Lonavala, Maharashtra",2026-08-24 08:15:00,2026-08-24 08:15:00,2026-08-24 10:46:00,76.81,151,12,No,No,No,On,No
VH007,MH01NP6789,DRV007,Priya Nair,9876543216,priya.nair@example.com,0,73,"Belapur, Maharashtra",2026-08-24 10:15:00,2026-08-24 10:15:00,2026-08-24 12:36:00,64.17,141,12,No,No,No,On,No
VH008,MH05QR0123,DRV008,Vikram Singh,9876543217,vikram.singh@example.com,20,65,"Pune, Maharashtra",2026-08-24 12:15:00,2026-08-24 12:15:00,2026-08-24 14:21:00,124.69,126,12,No,No,No,On,No
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,1,63,"Navi Mumbai, Maharashtra",2026-08-25 06:15:00,2026-08-25 06:15:00,2026-08-25 08:58:00,40.16,163,13,No,No,No,On,Yes
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,14,76,"Belapur, Maharashtra",2026-08-25 08:15:00,2026-08-25 08:15:00,2026-08-25 09:05:00,103.08,50,13,No,No,Yes,On,No
VH003,MH12EF9012,DRV003,Sneha Joshi,9876543212,sneha.joshi@example.com,4,86,"Kalyan, Maharashtra",2026-08-25 10:15:00,2026-08-25 10:15:00,2026-08-25 12:30:00,80.77,135,13,Yes,No,No,On,No
VH004,MH43GH3456,DRV004,Aditya Kulkarni,9876543213,aditya.kulkarni@example.com,15,73,"Pune, Maharashtra",2026-08-25 12:15:00,2026-08-25 12:15:00,2026-08-25 13:41:00,39.81,86,13,No,No,No,On,No
VH999,MH99TEST99,DRV01,Test Driver,9876543210,test.driver@example.com,105,120,Mumbai,2026-08-27 23:30:00,2026-08-27 23:00:00,2026-08-27 23:45:00,45,45,1,Yes,No,No,Yes,No
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,0,102,"Navi Mumbai",2026-08-27 23:42:00,2026-08-27 23:15:00,2026-08-27 23:42:00,41.55,53,13,Yes,No,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,2,50,"Pune",2026-08-27 23:45:00,2026-08-27 23:35:00,2026-08-27 23:45:00,10.0,10,14,No,No,No,On,No
VH999,MH99TEST99,DRV01,Justin Sunil,9876543210,test.driver@example.com,0,120,Mumbai,2026-08-27 23:59:00,2026-08-27 23:30:00,2026-08-28 00:05:00,45,20,1,Yes,Yes,No,On,Yes
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,0,102,"Navi Mumbai",2026-08-28 00:05:00,2026-08-28 00:05:00,2026-08-28 00:10:00,41.55,53,13,Yes,No,No,On,No
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,40,55,"Navi Mumbai",2026-09-23 20:55:00,2026-09-23 20:50:00,2026-09-23 21:00:00,15,10,13,No,No,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,60,120,Pune,2026-09-23 21:05:00,2026-09-23 20:50:00,2026-09-23 21:10:00,30,20,13,Yes,No,No,On,No
VH037,MH46CD4563,DRV010,Rohan Sunil,7738528625,rohan.sunil@example.com,60,120,Mumbai,2026-09-24 15:35:00,2026-09-24 14:52:00,2026-09-24 15:10:00,30,20,13,Yes,No,No,On,No
